Question,Answer
Which of the following statements is true according to the passage ?,"Some wolves in some areas must be killed , which others should be protected ."
"Living together ,",the members are not allowed to break the rules they make together .
What are scientists worried about when it comes to plants according to the article ?,Plants may not be able to evolve fast enough to adapt to human - caused climate change .
"When Sarah got the camera ,",it worked very well
Why was the new type of pineapple selling well ?,It was rich in nutrition and tasted nice .
What is the best title for the passage ?,The Surprising Motion of Mars
What does the passage mainly discuss ?,A home for the future .
What makes Geisel Library different from the others is that,famous writers often deliver speeches there
What 's the best title of the passage ?,Can dogs smell cancer ?
60 . The purpose of DailyBurn is to,help people have a healthy life
The study in the passage shows that   ,smoking is a serious problem among British students
The couple quit their jobs and took their children traveling because,they wanted to experience more in their lives .
That San Francisco attracts students most might be,a good place to live and study in
"In the author 's opinion , if all people remembered to smile when driving ,",many traffic accidents could be avoided
What is the best title for the passage ?,Do Study Many Languages besides English
""" We are all brothers . A wounded enemy is an enemy no longer . "" The sentence showed that",Dunant had great sympathy for human beings
.The following are all the immediate effects after a forest fire EXCEPT,snow on the ground mirrors more sunlight back into space
The whole exchange programme is mainly to,let students learn something about other countries
Which of the following is true ?,The professor was surprised to see the farmer eating supper on the road .
Which of the following helps prevent kidney damage most effectively ?,Take enough exercise and make early detection of kidney disease .
Which of the following is TRUE ?,The two languages will be closer and closer .
"About American classroom rules , which is NOT right ?","If you do n't understand the question , you ca n't ask the teacher to repeat (   ) it ."
Why did the officer get angry ?,Because the driver still shook his head after he said again .
You would like to get your children interested in reading so you can bring them to visit,the Scholastic Store
"If you need a blood transfusion , the best and safest blood for you is      .",exactly the same type as your own
"In keeping pets , we learn that",human beings can gain knowledge by keeping pets
What would be the best title for the passage ?,"Wales , a land with a population on the move ."
The woman driving the expensive car,failed to stop the policeman writing the ticket
The surveys mentioned in the passage show,music is popular in some professions
It is implied in the passage that,there is a potential market for this mobile technology
"After Temple got married to Charles Black ,",she might have begun her political life
Which is NOT the reason for growing healthy rice ?,To make the farmers surprised .
What do you learn form Dr. Listman ?,Children should not play paintball guns everywhere .
What is Paragraph 5 mainly about ?,What else can steal body heat .
"According to the passage , it can be concluded that when the writer was in London .",it rained every day
The story mainly tells us,about the three kids ' spirit
Which of the following about Dick is TRUE ?,He was always happy and helpful .
What did the stranger do when the writer jumped into a taxi ?,He got into another taxi .
""" The honeymoon stage "" here refers to",the period of excitement
"After breakfast , Mike often   ",plays the violin
What can be the best title for the text ?,Solar - powered smart road of the future
Which of the following statements is NOT correct ?,London Eye is called the EDF Energy London Eye from 2011 because the company bought it .
December is a quiet month because,Parents decide to go after the holiday
What does the story want to tell us ?,Never give up your dream .
Which is the following NOT true according to the passage ?,Renjian buchai comes from an article written by a pupil .
What is the main purpose of this passage ?,Toargueagainsttheideathatcollegeisthefirst choiceforallyoungsters .
"By means of music , the composer wishes that",you would share his feelings and ideas
"According to the text , Steven , Spielberg",has got seven children in total
"When a person was accused of a crime , his future would mainly depend on",luck
What can we learn from the text ?,The Flakes took much trouble to get drinkable water on the island .
Little Joey,was not clever enough
The best title for this text may be,Secret Santa of Kansas City
Which of the following is TRUE according to the passage ?,The employees have the right to enjoy eleven day public holidays .
The man comes to the restaurant,to have a good meal
What is the main idea of the passage ?,Europe Bans X - Ray Body Scanners Used at US Airports .
Which of the following statements is NOT true ?,Parents do n't ask their children to do the housework .
The author 's purpose is to,tell you the results of a national drivers ' test
Rosalyn Schanzer took thousands of pictures in order to,provide materials for her new book
This study was made by     .,Dr. Kraut and other experts
"According to the article , what does the band Four Square hope to do in the future ?",Perform in many different places .
"According to the text , why are test flights most dangerous ?",The pilot may lose control of the plane .
Which of the following is TRUE according to the passage ?,Customers prefer to feel relaxed at a restaurant .
What can we know from the passage ?,The author finally realized what she did was of use to the poor .
The jeweler could n't find the man anywhere because,"He got $ 20,00 by cheating and had run away with the money"
The text mainly tells us,some time management mistakes
"According to the passage , which is RIGHT ?",Jeff 's room is not tidy .
"According to the passage , Republicans and Democrats",often have disagreement on some issues .
Why did students set chickens free ?,They wanted to play a trick on teachers .
We can use Bitcoin to buy the following things except,books in physical shops
Carlos,like her work as a volunteer very much .
We can infer from the passage that,many people can accept advertisements
"Compared with traditional manufacturing procedures , 3-D printing",has an advantage in meeting the personal needs
Why did n't Lynne pay the check for the writer ?,Because she thought it was natural for people to pay their own check .
"In the passage , the sentence "" and he had not worked at all "" means ""  ",he crossed the water in an easy way
"In the passage , the writer intends to tell us that",we should be a person of purpose and stick to our ideas and our plans
You are advised to start hiking early in order to,get back down early
What did the man find when he showed his cave to the old man ?,A chest filled with jewels and some gold .
"In order to experience what real surfing is ,",you must first swim to the swells with your board
Xiao Ming   is playing in front of   ,other people 's
We can learn from the passage that those men who have stronger ability to bear mental stress usually,have the more active variant of gene
The main purpose in writing the passage is to,call on the world to unite as one
This passage is about   ,Lincoln 's favorite story
A spider 's ability to finish an incomplete web proves that,it has a highly preprogrammed brain
""" Background music "" in the passage means",music played while people are working
Which can be the BEST title for this passage ?,Miracles are nowhere
What may be the function of nicotine in cigarette butts for birds ?,To drive harmful insects away from bird nests .
What 's the function of the first passage ?,To come up with the question for the further discussion .
The passage centers around,the rights of citizens
"According to the passage , Poepoe 's new calendar",helps to take care of fishing resources
The family created an ant farm in a glass box because it was easy,for the boy to watch
Which of the following is true ?,Sadness wanted to stay alone .
Which of the following accidents may NOT happen in homes ?,People may be knocked down by cars on the roads .
The woman has,orange skin
The writer,likes living in London
"According to the passage , which factor contributes to the lack of dialogue between doctors and patients ?",Many doctors find it difficult to persuade overweight people to lose weight .
The criminal got the reddest and biggest apple because,he knew how to make his mother happy from her answer
What can we learn about the population in China from the passage ?,At the beginning of 2030s the aging problem will be worse than now .
"According to the passage , which of the following statements is true ?",Some additives besides nitrates can cause cancer .
What can be the best title for the passage ?,Is Netspeak harming the English language ?
The ear scanning system would help to find out,who you are
What 's the main idea of the passage ?,An endangered language is spoken by only two people .
Why does the author take the example of Emily Dickinson ?,Because loneliness may contribute to arts creation in some ways .
What would be the best title for the passage ?,Bladeless wind - power generator is friendly to birds .
What is the main theme of the passage ?,Skills to set your goals .
Ravi Mehta 's experiment indicates that,a proper volume of background noises does improve creativity
From the text we know that earlier risers,are more associated with positive feelings
What made the author began to ride a bike to work ?,The subway construction in the city was under way .
What do you know about Hasbro Electronic Catch Phrase ?,It is a toy with which you can play phrase competitions with others .
Which of the following is true ?,Anne loved life though she was in difficult time .
Mr . Kenel tells us while driving in multilane traffic,it will be better for us to drive in the outside lanes
"In the writer 's opinion , education should","be suitable to all aspects of being an adult , including employment"
"From the news brief , we can learn that",quite a few violent accidents happened in Thailand before the latest one
Which of the following is the best title for the passage ?,Mental Problems Caused by Air Pollution
"In writing the text , the author expressed",her love for her grandma
Which of the following is NOT true ?,All plants get food only from the soil .
York was proud of the fact that,he could perform some duties of a doctor
"According to the passage , where might the stress come from ?",All of the above .
"After the man fell ill , he intended to",give some of the treasure to other people
What is the best title for the story ?,Going Home
From the report we can infer,His No 17 jersey sells very well both in shops of New York and online .
You can learn from the text that,hundreds of people died in the flood
What 's the passage mainly about ?,An introduction to a newspaper reporter 's job .
Which is the following is true ?,Camels can live a very bad life .
Which do you think can be the best title of the passage ?,Net Shopping Hooks Army of Addicts
What 's the writer 's purpose in writing the passage ?,"To inform readers of tea growing , picking and processing ."
The purpose of the passage is to show you how to,play your cards right
What is the best title for the passage ?,Modern technology
What would be the best title for the passage ?,Supermarkets Urges Families to Dinner Table
How did the school district help the researchers carry out the study ?,By giving some basic information .
"How can we "" Lend a Helping Tongue "" to the story tellers , according to the writer ?",Give them a chance to finish .
Why does Mei Qiyue dislike staying in her dorm ?,Because she thinks her roommates always look down her .
John and his wife went to evening classes to learn how to,make or repair things
Why Kekula took her father home ?,Because they were turned down by hospitals and little can be done to her father .
Which of the following statements best describes the writer 's opinion ?,Children should be allowed enough time to play .
What can be learned from the passage ?,The Pepsi Company may be a sponsor of Teen Ink for this campaign .
"According to the passage , science teachers should",focus more on the learning process
Which of the following statements is NOT true ?,He lost interest in playing basketball after he retired .
"From the passage , we can infer that the writer",Missed some valuable things in her life
What would be the best title for the text ?,Great women .
Why was beancurd considered to be liked by the poor ?,It 's cheap .
It can be inferred from the passage that,Hatshepsut 's death may had been a mystery .
What shocked Dawn Bonfield most ?,Girls paid no attention to engineering .
What can we learn about Chihuahuas from this passage ?,"They are cute , long - haired and much like a fox ."
What is the passage mainly about ?,The start and development of watercolor .
What can we learn from the text ?,Soap plays an important role in removing germs .
"If you prefer living in a stone house , which hotel would you choose ?",Plumber Manor .
What happened to Jan Howard in Frontenac ?,She did n't have enough money to go on with her journey .
Why does n't Auggie want to go to school at first ?,Because he worries that other students will laugh at him .
Abramson probably agrees that,text messaging is bad for children 's spelling
It can be concluded from the passage that anyone can become a changemaker if he   ,tries to improve social conditions
What can we learn from the above four packages ?,The Horizons Night Show may be of special interest to tourists .
What would be the best title for the text ?,Invite your enemies to lunch
What is the Project Planes Program trying to do ?,Work for a better environment .
Why did the man walk to the writer and Robert ?,To look for a job in Robert 's company
Which of the following is true according to the text ?,It 's generally considered that animals can sense the coming of disasters .
Which of the following would be the best title for this passage ?,Getting older means getting happier
"When the head smiled , it 's clear that",the traveller did n't know what the children meant
People now are most worried,whether more developed countries will do the same as Canada
Which of the following is right ?,Mary has a good time at the party .
Many Chinese students think that American student,are very free at school
We can learn from the passage that,the government is trying to ease the tension
"Which may be a fact resulting from the "" secondary benefit "" of AGNES ?",Young people eat and exercise well .
We use antifreeze in order to,make the freezing point of water lower
"According to the passage , the computer technology",helps the farmer get a better harvest
Which of the following is not true according to the text ?,People who wear practical and functional shoes may be hard to deal with .
"If you 're interested in human evolution , you 'd better choose",Self - led Activities
Mirabella decided to work with dogs after,she won a kid 's dog show
What was the most important reason for why Oprah hated her job reporting the news ?,She did n't like just standing around and talking .
"The sentence "" Now it makes people sitting next to you feel absent "" means that",modern technology makes it hard for people to have a face - to - face talk
What 's the best title for this passage ?,A Special Sled Hockey Player
How did the young mouse know the cat was there ?,He heard the cat .
Which of the following is TRUE ?,"The moment you open your eyes , the light from the book travels to your eyes ."
"What will make one man happy may not make another man happy . This sentence means ""  ",Different peolpe hold different opinions about happiness
Which of the following is not true ?,Both the young officer and the old soldier were angry .
What can we infer from the passage ?,"Some things do n't get better with age , such as paper textbook ."
We can see a rocky cliff over 400 feet high,on our right when coming to a sharp bend
People thought Bob could n't graduate from college because,his parents had little money to support him
We can infer from the passage that Jane Austen had a gift for   ,holding the readers ' interest
Why did Michael take his kids to watch the disabled runners ?,He wanted them to learn to love and care for poor people .
"According to the passage , we know that Han Duan",was good at sports when she was at school
""" Foreigners often speak English too correctly . "" The sentence means that",foreigners speak English according to the grammar rules .
What does the writer intend to tell us through the passage ?,"With the help of others , we can get over fear and nervousness ."
"According to the passage , which of the following statements is true ?",The death rate among those unhappy people is greater .
The author mentions the sudden stop of the bus to,give a better explanation of concussions
"According to the passage , which is NOT true about the ISS ?",It has carried people to other planets .
The competition was organized by,Innova Junior College
Which of the following statements is TRUE ?,""" Dutch "" sometimes means all that is non - English in American English ."
The author has discovered that people will feel happy when,they offer their help
Why was Lee sent to America ?,His family : feared he was getting into too much trouble in Hong Kong .
LexisNexis Academic is the name of a,database
which sentence about the writer is TRUE ?,He likes taking a train because train stations are usually in cities .
Which of the following can be inferred from the text ?,The government of America will possibly forbid importing peppers from Mexico .
The boy became interested in the vegetables later because,they were the fruits of his own labour
What is the main idea of the passage ?,A severe heatwave swept India with a great loss .
Justin hated Christmas because,he had a hard time choosing gifts
What did Bogota do to improve the quality of life for its people ?,It built new parks and a new public transport system .
We can infer from the passage that,industrialization contributes to the spread of the Western diet
What do we know about Jake ?      ,He liked playing Grand Theft Auto III .
The text recommends the following available ways of receiving Australian education and training EXCEPT,attending online courses at home
Why should the American people usually pay three types of taxes ?,"There are three levels of government -- federal , state and city - to support the United States ."
We can learn from The Giver that,people in the community live an imperfect life
The author prayed for Sandy 's recovery because he felt that,he would recover if Sandy recovered
This story mainly wants to tell us,good exam results really need studying hard
From the passage we can infer that,different cultures would affect how students look at the photo
Which two books were adapted into a six - part TV series ?,"The Restaurant at the End of the Universe and Life , The Universe and Everything"
Which of the following number is NOT true of the pop concert mentioned in the passage ?,1.5million people watched it on TV .
Which of the following is true ?,Carl Jung 's dream house changed as he changed .
The research on pigs at Purdue University shows that   ,pigs need affection .
"If you enjoy barbecue , you can choose to stay at",Smugglers Cove Cottage or Driftwood
The example of Christian and Brianna proves,giving makes a person become happier
Those who want more economic growth believe that continued economic growth,is essential to the well - being of society as a whole
When might people have to go back to using horses and carriages ?,When they run out of oil .
"According to the passage , what makes it possible to carry out a facial transplantation ?",Drugs are available to stop the body 's immune system rejecting a transplanted face .
We can learn from the passage that the United States Capitol Dome is,worn by being exposed to the weather
What is the passage mainly about ?,The author 's learning experience in London .
Why do you think the writer turned and walked back to the table ?,He wondered if he had dropped his wallet while eating .
Which of the following might be the best title for this article ?,Diet : a tricky path to weight loss
Which of the following might be more inviting to a sports fan ?,Sydney Olympic Park
Where is Judson Memorial Church ?,To the south of Washington Square .
What does the story of Jeanne Calment prove to us ?,People can live to 122 .
The machine told the Indian woman,she was a little heavier
"Ivory is known as "" white gold "" because",it is extremely valuable
The passage centers on,how life began on a volcano - produced island .
The woman went to the shop again the next day in order to,teach the assistant a lesson
We can learn from the passage that,one 's inability to speak up is culturally determined sometimes
"From this article , we know that",the Climatologists have told us two aspects about the reason for the climate change
Why is patience necessary in whale watching ?,Because it is very difficult to find these clever whales .
Which of the following is Not the disadvantage of keeping elephants in zoos ?,Less attention .
Many men think,women 's duty is mainly to do housework at home
The reason for heating up competition between international universities is,"China 's boom , the students ' desire and foreign universities ' commercial motive"
Which of the following is NOT true according to the passage ?,The boy could n't hear clearly without ears at first .
How far is it from Changsha to Guangdong ?,726 kilometers
In what ways could ocean living be helpful for man ?   (     ),People can be interested in the new pleasure there is n't anywhere else .
What can we infer from the passage ?,The author mistook Mary that morning .
"The best title of the text would be ""  ",The Lighthouse
Which of the following is TRUE ?,The charms are popular with students .
One of the ways we could help prevent crime is to,look out for people behaving suspiciously
What do the publishers mentioned in the passage have in common ?,They do n't aim at making money by publishing global writing .
Which can be the best title of the passage ?,The 100th guest
The best title for this passage should be,How Skin Cells Heal Cuts
"According to the passage , why do the students in the other universities admire the students at Renmin University ?",Because they get a spring break .
From the text we learn that,customs influence people 's lives
"From the passage , we know that",walking in central Australia takes a long time
The new technique can,prevent the AIDS virus from spreading
What 's the use of Simon West 's animated road signs ?,To warn people to be careful while working .
"According to the passage , big trees make great contributions to the ecosystem because",they provide the essentials for many creatures .
What makes the scientists plan to move Earth ?,Earth will become too hot for mankind to keep alive .
The original price would be misleading because,there might be a sharp drop in price of the item
"The ancient people mentioned "" traveling a thousand miles "" and "" reading a thousand books "" together meaning that",travel means more than going sightseeing
The reason why people remove graffiti is that it,makes buildings ugly
The author was angry because   ,the class made fun of her .
"The author mentioned Jimmy Rodger , John Denver and Steve Earle to",show the process of the development of country music
Gradael investigated the use of rare earths in modern technologies to,determine whether there are substitutes for rare earths
What can we infer from the passage ?,Music can affect fashion trends .
Who 's in No.3 Middle School ?,"Li Lei , Jack and Jack 's mother"
Why does Gold think people should not use cellphones at table ?,Because it may prevent people communicating with their companions .
We can infer from the text that,about 50 % of Britons think eating an egg a day is bad for their health
Which of the following is NOT true according to the passage ?,Making wrong choices in life is necessary .
Which of the following statements is TRUE according to the passage ?,Drivers at all ages will be expected to provide their medical condition .
Which of the following is true according to the passage ?,The doctors used two machines to keep D ' Zhana Simmons ' life .
What ean be inferred from passage three ?,America ranks first in producing e - waste a year
"According to Rodd Freitag , young people are less likely to vote because",they do n't think it is a part of their life
"If you visit Meiji Jingu , you can    ",know more about Japanese history
Why did n't the writer 's mother answer his question immediately ?,Because she was thinking of a better answer .
The dissolving of salt in water is,a physical change
The best title for the passage can be,Grandfather 's Clock
"When you want to learn more about the flu , you can",call HealthLine at 1800 848 1313
Small talk happens most probably except when,you 're having a meeting
Which of the following might be the best title of the passage ?,""" Shanzhai "" culture takes on life of its own"
"If a child plays with his invisible friend , it shows that",the child has great imagination
What did the 2010 research find ?,Rats have a natural ability to recognize directions
Which of the following ways can ease the jams according to the passage ?,People take trains to spend their holiday .
Which of the following may best betray    a liar ?,The situations in which his lies are told .
The important measures of the tendency to diabetes are,how the body handles glucose and increases insulin resistance
Which of the following is TRUE ?,Peter often speaks Chinese with his classmates .
Medical students all become doctors,when they graduate
What might be the most suitable title for the passage ?,Understanding animals
"If there is a fire breaking out in a restaurant , what will happen in China ?",people will carry a basket or some water containers to help put out the flames
Which of the following is NOTtrue ?,You can enjoy acrobatic shows every day at 7 p.m. in the open air .
The mother placed a full page ad in order to,ask her son to come back to China for the festival
The passage mainly talks about,people 's different opinions about paying students
"According to the passage , people communicate with each other mainly by",the passage does n't tell us
Which order of steps is followed in carrying out the project ?,Design -- Prototype -- Assessment -- Construction .
Which of the following is true according to the article ?,Regular jogging makes people live longer .
The passage is written mainly to,tell us something about the Wife - carrying World Championship .
Which of the following descriptions is true according to the passage ?,"By comforting his daughter , the author showed how much more he loved her than his truck ."
What has China been doing to promote Chinese language learning abroad according to the text ?,The Chinese language contests for foreign students are regularly held .
"According to the passage , scientists have found   ",the gene that determines skin colour
Which of the following can be used as the best title for the passage ?,A Thief 's Lucky Day
The best title for the passage would be,The Government Is Wasting Our Tax Dollars !
What happened in 1935 ?,The customer stole a ring for his girl friend .
It can be learnt from the passage that,websites that involve joy and learning are beneficial to kids .
What can we infer from the text ?,It 's important for travelers to understand cultural differences .
The newly found elements are,"elements 113 , 115 , 117 , 118"
What is the main idea of the passage ?,"It 's a wonderful chance for the students to take part in such an important celebration . """
Which of the following is TRUE according to the passage ?,The Red Panda 's tail can help it stay balanced when it is high up in the trees .
What is the best title of the passage ?,Lists of Contract Suppliers .
"According to the passage , female elephants",can remember where their family members are while traveling
""" If you want to know the time , ask a policeman . "" That means",the British policeman is friendly and helpful
The five councils worked out a plan to build an incinerator plant to,meets the EU requirements
What is the trouble with McDonald 's ?,Its sales and income have dropped .
Which of the following magazines saves the most money ?,Dog Fancy
"According to the writer , in an aptitude testing , Chinese job applicants should",learn to tell what they really think
The passage is mainly about,love between a couple
What is the best title for this passage ?,From wheels to heels
Which of the following is NOT true ?,"These days , there is only one channel with old movies , cooking and fishing ."
The best title of this story should be,A Classic Love Story
Which of the following is TRUE about the KL HOP - ON HOP - OFF bus service ?,"Passengers do n't have to pay again when boarding other HOP - ON HOP - OFF buses 
 during the time of their tickets ' validity ."
The proper title for News 2 would be,Two pilots killed in plane crashes in US
Dr. Sinar took a gap year because he,wanted to refresh after 26 years ' work
Form the article we know that     ,the boy is blind and needs help
The father decided to help the Smiths because,he learned from widow Smith about her trouble
"After class , the author",talks with Ms. Runkle quite a lot
Which phrase from the passage shows the writer 's prejudice ?,tiny little hick town
Where did Alice spend her Christmas Eve ?,Alice 's old neighborhood church
The main problem of the round - the - clock working system lies in,the disturbance of the daily life cycle of workers who have to change shifts too frequently
The best title of this passage might be,SiTALY 'S Tasty Island Culture
Which is NOT true about how to play the game ?,There 's only one word on each word brick .
Wichita State University offers,a flexible pay to the future assistant professor
"According to the passage , we can infer that",communication with the trapped miners was cut off
The passage mentions Shanghai in order to,prove that the background of the movie touched viewers
It seems surprising that Santa Fe becomes famous because   ,it is only a very small place
The cause of low educational level in America include the following EXCEPT that,America pays more attention to economy instead of education
Which of the following is NOT true of weboholism ?,It contributes to the development of the web .
Which is the best title for the passage ?,Jefferson and the Jockey
What purpose did Amy have when she began making Comfort Capes for sick children ?,To make them happy and fearless .
Why did police ask the media not to publish any photos of Dickson ?,Worrying about bad influences on the investigation .
What can be inferred about the author of the text ?,He / She is quite experienced in the exercise of walking .
Mark Twain left school at 12 to    ,join the army
"When the writer says that animals seem "" to be catching on "" , he means",animals begin to learn to use eco - passages
What is the main idea of Para . 3 ?,Useful services of wildernesses are not the reason for no exploitation .
The NFC technology can be used to,make purchase faster and simpler
"When the author walked through her parents ' house , she",started to think about her own life
What can be the best title for the text ?,Delicious Sushi and Its Origin
Which of the following is TRUE ?,Any kid in France can be a one - day editor .
From the passage we can infer that the Pig Academy will,provide geilivable help for whoever attends the course
What 's the main idea of the text ?,How you can adjust to your first year in college .
"As is indicated in the passage ,",Most parents require their children to be the top ones in the class .
What can we learn from the passage ?,"We can wash our hands with water that is at a "" comfortable "" temperature ."
"According to the passage , only kids in Africa know how to",make a drum
On Friday morning students do n't have   ,Spanish
"From Monday to Friday , many people",accumulate a sleep debt
"If a Harry Potter fan travels to Oxford , he 'll probably visit",Christ Church College
"According to the writer , E - mail has an obvious advantage over the telephone because the former helps one",reach a group of people at one time conveniently
What can we learn from the end of the story ?,Dave was hopeful of catching a lot of fish .
Freud 's mother felt very happy on her 95th birthday because,she believed that the band was playing for her birthday
What made the author begin to take college as a home ?,Friends ' shared feelings .
Which of the following might be the best title for the text ?,An authority on English gentlemen
The following organizations may advertise to make money except,LADIES OF ChARITY OF AUSTIN
Which of the following statements is TRUE according to the passage ?,Nash is the first Canadian winner of the MVP award .
Very few species depend entirely on genetic learning because,their environments change all the time
"According to the passage , paper is not used for",food and drinks
What mistake did the husband make after checking into the hotel ?,He misspelled her wife 's address
We know from the text that the author,is seriously ill
Sally Ride was regarded as a national hero because she,became the first American female in space
What is the article mainly about ?,How Bruce Wayne develops into a superhero .
The author mentions the example of crying baby in order to   ,tell different people react to stress differently
This passage is mainly about,premature or preterm births throughout the world
The passage is mostly concerned with,the history of the three meals
51 . The officer was strict,"with any of his soldiers , new or old ."
Yao Ming said that,playing in the NBA was difficult
"In drilling through the ice in Antarctica , scientists have found that",snowfalls are kept in certain patterns
What can be the possible reason for Tokyo Disneyland 's boom ?,The economic depression has changed people 's plans to spend money .
The writer of the reading thinks,good answers are always coming when we think outside of the box
"The best title of this passage should be ""   ",Never Give Up
What prevents people from writing on is,attempting to edit as they write
The writer presents many details of the note intended for Rose to show that,true love is permanent whatever happens
"By saying "" To err is human "" , the author means that",no one is perfect   and everyone makes mistakes
We can conclude from the passage that Robert,was a failure in managing farms but a success in art
"If people want to do their work better , they should",do exercise often
"The author thinks "" marking between the lines "" is","as important as "" reading between the lines """
Gorge Washington borrowed a book from,the New York Society Library
Which of the following is TRUE about Sherian Huddleston ?,She is working more hours than before because of the worsening economy .
Who would pay for the cost of the reality TV shows according to the passage ?,TV viewers who telephone reality TV shows
"With the help of the child 's identity , the criminals can do the following except",straighten out their own credit record
Which one of the following is NOT TRUE ' ?,More and more people surf the Internet to ask for help from U .S .Government
How did the Englishman tell the waiter that he wanted some mushrooms ?,He showed the waiter a picture of a mushroom .
What will Megan do next week ?,Help cook dinner .
The young person standing on the other side of the pond was,a girl
What can we learn from the passage ?,The former name of Larlovy Vary was Carlsbad .
"According to the passage , we can know","Wang Xiaoyue was titled a "" King of Cooking "" in this competition"
What worries Anny ?,Her dad is strict with her .
What is the passage mainly about ?,Three people 's summer vacations .
"From the passage , we can see",she has a twin sister
Some people think globalization is good because it may,help stop wars among countries
Which of the following is TRUE ?,The workers in it are very friendly .
We can conclude from the passage that,making difficult choices may influence sharing behavior
What would be the best title for this passage ?,Being Merciful Toward Others
Which of the following might be the best title for the text ?,The Unknown Truth about ATM
What does Zhang Qian think of his host family ?,It 's very nice but not his home .
The neighbor hates,the noise
How does gum work to reduce stress according to the text ?,It works by reducing one 's level of cortisol .
The passage is mainly written to,attract people to make a visit to Hawaii
In the modern western countries,list of people 's illness are caused or made worse by bad eating habits
What is the text mainly about ?,Volunteers and their amazing work
The writer quoted the Chinese tale of a farmer in order to show,you should not sit at home waiting for the opportunity to come to you
What was the major problem Sir Joseph Banks had transporting plants to his country ?,The plants did not survive the long journey .
What is the best title for the passage ?,Struggling for a Better Life in Canada
What is most probably the writer 's purpose in writing the article ?,To help solve the universal problem of stress
The research by Frans De Waal in 2003,showed that animals do pay attention to inequity .
You may not get angry when,your favorite basketball team wins the game
"According to the passage , the foreign ministry spokesman in Vienna had made sure",the Austrian on board was actually at home
Which of the following can'tbe inferred from the passage ?,Lara Croft : Tomb Raider was Jolie 's first film .
The world plan mentioned in the passage aims at,helping illiterate people learn functional reading and writing
The Snake Catchers catch snakes because,they do n't want people to hurt snakes
Which is one of the procedures of the Argentine study ?,The man had different reactions to the food received .
"According to researchers , teenagers with a bedroom TV may have all of the following problems EXCEPT",easily becoming sad
What is the critical factor of forming a fault ?,The plate movements around the rocks .
Which of the following about the chemistry exam is TRUE ?,It in fact took an hour to finish the chemisty exam
Which of the following statements can prove that schools are safe ?,Fatal shootings of students are less than 1 % of all homicides .
The passage is mainly about,the fact that one million employees in UK do n't take all their annual leave
We can infer that the rabbit,was already dead before the writer saw his dog dragging it
What was the big event that happened in the 3-D printing industry last year ?,The 3-D printer became more affordable for consumers .
"According to the passage , Michael Jackson",loved performing at school
Doctors started setting up home in Harley Street probably because,Hasrley Street had become a populated area
Marion felt his body as if it was caught in a vice because,he could n't get out of mental pressure
The passage mainly tells us that,many famous writers lived nontraditional lives
Dr. Cleiman did not explain in the passage,why people have their energy cycle at different times
Which of the following places attracts the most visitors according to the passage ?,The Louvre Museum .
"From this passage , we can learn that",Harry 's success comes from his dream amd working hard
Why did people line up at the railway station ?,To exchange money .
Mark Brain 's story is mentioned in the passage in order to show the fact that,some people may express their gratitude through different approaches
What can be inferred from Greg Hunt 's words ?,".Australia is confident that the Reef is not""in danger "" , ."
What do you think of Zhang Wuben 's book ?,It is a trashy    book .
We can infer from the passage that,the final goal of the researchers is to design an electronic dog to detect cancer
Why did the lady complain about her seating ?,Because she did n't want to sit next to a black man .
Linda Waite 's studies support the idea that,marriage can help make up for ill health
What is the main idea of the passage ?,Copenhagen is planning to build bicycle - friendly highways .
"According to the new standardized dress code , students in the US are allowed to wear",knee - length pants
Emma received advanced education at home because,universities were only for men at that time
The author wrote the passage mainly to tell us,how to choose the perfect blanket
This passage is mainly about,oil pollution in the waters
"We know that the word "" cool "" has",many different meanings
"According to the article , what is NOT the advantage of being educated at home ?",Students taught at home can go to good universities .
Which of the following is TRUE about the old lady sitting next to the author ?,Her daughters live far away from her home .
What do Channel V and VIVA have in common ?,They have viewers in more than one country
"In the summer holidays , the library will have",special hours on weekends
"From the passage , we can draw the conclusion that",the house features energy - efficient materials
Why are the applicants encouraged to apply early ?,There are not enough places for the courses or in - college accommodation .
Why can small pieces of space junk threaten satellites ?,They travel at a very high speed .
Why did n't they return the toy at last ?,Because it had been broken .
The best title of the passage is possibly,"Car Free Day pushes""green""transport"
Which of the following is right ?,"If we can read the minds of unconscious patients , it will be wonderful ."
"From the passage , we can infer that",Babbage was the first designer of the modern computer
Low - frequency earthquakes occur when,the tides are getting bigger gradually
Which of the following is TRUE according to the passage ?,Students should take roommate relations seriously .
"By saying that "" Being a waitress changed my life . "" the author means that",the experience working as a waitress was worthwhile for the author
Which of the following is TRUE ?,Safeway was listed at the New York Stock Exchange around 1928 .
What is the best title of the passage ?,The importance of nonverbal communication
What can we infer from the passage ?,women wore rings thousands of years earlier than men .
What can we know about the author ?,He finally changed his attitude towards his stepfather .
Why did Tracy choose to be a volunteer ?,She wanted to follow Mother Teresa 's example .
Which of the following is TRUE according to the passage ?,Preparations for a test of a skill do not mean the acquisition of that skill .
Which of these proves that man is changing ?,Man has been growing taller over the past 500 years .
"If you are a student of University of Greenwich , which flat would you better rent ?",Flat B
Which can be the best title for the text ?,A Priceless Mother 's Day Gift
"On Tuesday , Nicholas",was saved by a searcher
Which of the following best reflects the author 's opinion ?,We can never be too careful with the volume level of music .
From the story we can know that,the forest doctor told the animals not to wear clothes
"Compared with volunteer divers , coralbots",can stay longer underwater
